OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32,53.022599999999997,-124.702799999999996,302.100000000000023,2.300000000000000,1.500000000000000,2019-03-19 0:00:00,2019,Terra,MODIS,45,6.030000000000000,280.399999999999977,26.899999999999999,D,0
33,53.014099999999999,-124.687600000000003,312.500000000000000,2.100000000000000,1.400000000000000,2019-03-19 0:00:00,2028,Aqua,MODIS,73,6.030000000000000,281.500000000000000,43.799999999999997,D,0
34,53.010800000000003,-124.704899999999995,316.800000000000011,3.200000000000000,1.700000000000000,2019-03-19 0:00:00,2206,Aqua,MODIS,67,6.030000000000000,283.500000000000000,93.799999999999997,D,0
35,53.053400000000003,-124.662899999999993,317.600000000000023,3.200000000000000,1.700000000000000,2019-03-19 0:00:00,2206,Aqua,MODIS,78,6.030000000000000,282.000000000000000,98.599999999999994,D,0
36,53.064700000000002,-124.649600000000007,301.800000000000011,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,553,Terra,MODIS,44,6.030000000000000,273.199999999999989,11.000000000000000,N,0
37,53.841000000000001,-125.241100000000003,338.500000000000000,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,553,Terra,MODIS,100,6.030000000000000,274.300000000000011,52.200000000000003,N,0
38,53.838200000000001,-125.257099999999994,306.000000000000000,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,553,Terra,MODIS,34,6.030000000000000,273.899999999999977,12.600000000000000,N,0
39,53.847200000000001,-125.262000000000000,302.300000000000011,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,553,Terra,MODIS,48,6.030000000000000,272.100000000000023,10.699999999999999,N,0
40,58.754300000000001,-122.641900000000007,305.100000000000023,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,1922,Terra,MODIS,57,6.030000000000000,279.000000000000000,11.300000000000001,D,0
41,53.066499999999998,-124.663600000000002,312.899999999999977,1.000000000000000,1.000000000000000,2019-03-20 0:00:00,1924,Terra,MODIS,64,6.030000000000000,277.100000000000023,16.800000000000001,D,0
42,53.064500000000002,-124.648200000000003,303.100000000000023,1.000000000000000,1.000000000000000,2019-03-20 0:00:00,1924,Terra,MODIS,48,6.030000000000000,277.100000000000023,9.800000000000001,D,0
43,52.495699999999999,-121.827399999999997,309.100000000000023,1.000000000000000,1.000000000000000,2019-03-20 0:00:00,1924,Terra,MODIS,68,6.030000000000000,281.800000000000011,12.300000000000001,D,0
44,49.209699999999998,-121.813599999999994,307.199999999999989,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,1925,Terra,MODIS,0,6.030000000000000,291.100000000000023,6.000000000000000,D,0
45,49.037700000000001,-122.132300000000001,303.500000000000000,1.000000000000000,1.000000000000000,2019-03-20 0:00:00,1925,Terra,MODIS,44,6.030000000000000,292.500000000000000,3.900000000000000,D,0
46,49.464599999999997,-120.747699999999995,316.399999999999977,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,2110,Aqua,MODIS,77,6.030000000000000,282.399999999999977,19.100000000000001,D,0
47,52.495500000000000,-121.836299999999994,305.199999999999989,1.100000000000000,1.000000000000000,2019-03-20 0:00:00,2110,Aqua,MODIS,57,6.030000000000000,284.899999999999977,9.900000000000000,D,0
48,53.063800000000001,-124.673900000000003,321.600000000000023,1.000000000000000,1.000000000000000,2019-03-20 0:00:00,2111,Aqua,MODIS,61,6.030000000000000,278.000000000000000,23.199999999999999,D,0
49,53.057299999999998,-124.681899999999999,307.800000000000011,1.700000000000000,1.300000000000000,2019-03-21 0:00:00,2007,Terra,MODIS,66,6.030000000000000,280.699999999999989,23.699999999999999,D,0
50,53.051900000000003,-124.658100000000005,301.199999999999989,1.700000000000000,1.300000000000000,2019-03-21 0:00:00,2007,Terra,MODIS,45,6.030000000000000,280.500000000000000,15.199999999999999,D,0
51,53.049700000000001,-124.664199999999994,300.100000000000023,2.900000000000000,1.600000000000000,2019-03-21 0:00:00,2016,Aqua,MODIS,26,6.030000000000000,280.600000000000023,28.300000000000001,D,0
52,53.050800000000002,-124.668300000000002,301.699999999999989,2.900000000000000,1.600000000000000,2019-03-21 0:00:00,2016,Aqua,MODIS,49,6.030000000000000,280.600000000000023,32.100000000000001,D,0
53,52.451300000000003,-122.645799999999994,300.500000000000000,2.800000000000000,1.600000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,37,6.030000000000000,284.100000000000023,25.699999999999999,D,0
54,53.054800000000000,-124.704599999999999,306.000000000000000,2.300000000000000,1.500000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,59,6.030000000000000,283.699999999999989,27.600000000000001,D,0
55,53.055700000000002,-124.644800000000004,307.600000000000023,2.300000000000000,1.500000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,66,6.030000000000000,282.000000000000000,31.600000000000001,D,0
56,53.054000000000002,-124.679100000000005,342.500000000000000,2.300000000000000,1.500000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,93,6.030000000000000,281.600000000000023,165.000000000000000,D,0
57,53.319400000000002,-123.248900000000006,306.800000000000011,2.700000000000000,1.600000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,64,6.030000000000000,283.100000000000023,37.299999999999997,D,0
58,53.845500000000001,-125.224800000000002,305.699999999999989,2.200000000000000,1.400000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,47,6.030000000000000,281.800000000000011,29.699999999999999,D,0
59,53.843800000000002,-125.257400000000004,324.600000000000023,2.200000000000000,1.400000000000000,2019-03-21 0:00:00,2154,Aqua,MODIS,0,6.030000000000000,280.199999999999989,79.099999999999994,D,0
60,55.611499999999999,-120.257700000000000,316.800000000000011,1.000000000000000,1.000000000000000,2019-03-22 0:00:00,541,Terra,MODIS,94,6.030000000000000,273.500000000000000,20.399999999999999,N,0
61,55.609200000000001,-120.273200000000003,336.000000000000000,1.000000000000000,1.000000000000000,2019-03-22 0:00:00,541,Terra,MODIS,100,6.030000000000000,273.800000000000011,42.799999999999997,N,0
